version,1.6.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,South Africa
info,gender,male
info,season,2018
info,date,2018/08/01
info,event,South Africa tour of Sri Lanka
info,match_number,2
info,venue,Rangiri Dambulla International Stadium
info,city,
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,Q de Kock
info,umpire,REJ Martinesz
info,umpire,PR Reiffel
info,reserve_umpire,RSA Palliyaguruge
info,tv_umpire,NJ Llong
info,match_referee,J Srinath
info,winner,South Africa
info,winner_wickets,4
info,player,Sri Lanka,WU Tharanga
info,player,Sri Lanka,N Dickwella
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,MDKJ Perera
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,GSNFG Jayasuriya
info,player,Sri Lanka,NLTC Perera
info,player,Sri Lanka,A Dananjaya
info,player,Sri Lanka,RAS Lakmal
info,player,Sri Lanka,NGRP Jayasuriya
info,player,Sri Lanka,CAK Rajitha
info,player,South Africa,Q de Kock
info,player,South Africa,HM Amla
info,player,South Africa,AK Markram
info,player,South Africa,F du Plessis
info,player,South Africa,JP Duminy
info,player,South Africa,DA Miller
info,player,South Africa,PWA Mulder
info,player,South Africa,AL Phehlukwayo
info,player,South Africa,K Rabada
info,player,South Africa,T Shamsi
info,player,South Africa,L Ngidi
info,registry,people,A Dananjaya,5b16a806
info,registry,people,AD Mathews,896d78ad
info,registry,people,AK Markram,6a26221c
info,registry,people,AL Phehlukwayo,ab6b1c45
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,CAK Rajitha,8012d0b8
info,registry,people,DA Miller,d67d5f00
info,registry,people,F du Plessis,3355b542
info,registry,people,GSNFG Jayasuriya,b58b7db6
info,registry,people,HM Amla,e798611a
info,registry,people,J Srinath,bad31fac
info,registry,people,JP Duminy,2e8994e7
info,registry,people,K Rabada,e62dd25d
info,registry,people,L Ngidi,f834dcfc
info,registry,people,MDKJ Perera,f21043a5
info,registry,people,N Dickwella,45963d9e
info,registry,people,NGRP Jayasuriya,127bc5ca
info,registry,people,NJ Llong,573fb985
info,registry,people,NLTC Perera,0f12f9df
info,registry,people,PR Reiffel,c9354f29
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,Q de Kock,372455c4
info,registry,people,RAS Lakmal,2f28dc94
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,T Shamsi,a03bba42
info,registry,people,WU Tharanga,7ed9fd56
ball,1,0.1,Sri Lanka,WU Tharanga,N Dickwella,K Rabada,0,1,1,,,,,"",""
ball,1,0.2,Sri Lanka,WU Tharanga,N Dickwella,K Rabada,0,0,,,,,,"",""
ball,1,0.3,Sri Lanka,WU Tharanga,N Dickwella,K Rabada,0,0,,,,,,"",""
ball,1,0.4,Sri Lanka,WU Tharanga,N Dickwella,K Rabada,1,0,,,,,,"",""
ball,1,0.5,Sri Lanka,N Dickwella,WU Tharanga,K Rabada,0,0,,,,,,"",""
ball,1,0.6,Sri Lanka,N Dickwella,WU Tharanga,K Rabada,0,0,,,,,,"",""
ball,1,0.7,Sri Lanka,N Dickwella,WU Tharanga,K Rabada,2,0,,,,,,"",""
ball,1,1.1,Sri Lanka,WU Tharanga,N Dickwella,L Ngidi,0,1,1,,,,,"",""
ball,1,1.2,Sri Lanka,WU Tharanga,N Dickwella,L Ngidi,0,0,,,,,,"",""
ball,1,1.3,Sri Lanka,WU Tharanga,N Dickwella,L Ngidi,4,0,,,,,,"",""
ball,1,1.4,Sri Lanka,WU Tharanga,N Dickwella,L Ngidi,0,0,,,,,,"",""
ball,1,1.5,Sri Lanka,WU Tharanga,N Dickwella,L Ngidi,4,0,,,,,,"",""
ball,1,1.6,Sri Lanka,WU Tharanga,N Dickwella,L Ngidi,0,0,,,,,,caught,WU Tharanga
ball,1,1.7,Sri Lanka,BKG Mendis,N Dickwella,L Ngidi,0,0,,,,,,lbw,BKG Mendis
ball,1,2.1,Sri Lanka,N Dickwella,MDKJ Perera,K Rabada,0,0,,,,,,"",""
ball,1,2.2,Sri Lanka,N Dickwella,MDKJ Perera,K Rabada,0,0,,,,,,"",""
ball,1,2.3,Sri Lanka,N Dickwella,MDKJ Perera,K Rabada,0,0,,,,,,"",""
ball,1,2.4,Sri Lanka,N Dickwella,MDKJ Perera,K Rabada,0,0,,,,,,"",""
ball,1,2.5,Sri Lanka,N Dickwella,MDKJ Perera,K Rabada,0,0,,,,,,"",""
ball,1,2.6,Sri Lanka,N Dickwella,MDKJ Perera,K Rabada,4,0,,,,,,"",""
ball,1,3.1,Sri Lanka,MDKJ Perera,N Dickwella,L Ngidi,0,0,,,,,,"",""
ball,1,3.2,Sri Lanka,MDKJ Perera,N Dickwella,L Ngidi,1,0,,,,,,"",""
ball,1,3.3,Sri Lanka,N Dickwella,MDKJ Perera,L Ngidi,1,0,,,,,,"",""
