version,1.6.0
info,balls_per_over,6
info,team,South Africa
info,team,New Zealand
info,gender,male
info,season,2005/06
info,date,2005/11/04
info,event,New Zealand tour of South Africa
info,match_number,4
info,venue,Kingsmead
info,city,Durban
info,toss_winner,South Africa
info,toss_decision,bat
info,umpire,SA Bucknor
info,umpire,BG Jerling
info,tv_umpire,KH Hurter
info,match_referee,BC Broad
info,outcome,no result
info,player,South Africa,AB de Villiers
info,player,South Africa,GC Smith
info,player,South Africa,JH Kallis
info,player,South Africa,AG Prince
info,player,South Africa,JM Kemp
info,player,South Africa,MV Boucher
info,player,South Africa,SM Pollock
info,player,South Africa,AJ Hall
info,player,South Africa,CK Langeveldt
info,player,South Africa,M Ntini
info,player,South Africa,A Nel
info,player,New Zealand,SP Fleming
info,player,New Zealand,NJ Astle
info,player,New Zealand,L Vincent
info,player,New Zealand,SB Styris
info,player,New Zealand,CD McMillan
info,player,New Zealand,HJH Marshall
info,player,New Zealand,BB McCullum
info,player,New Zealand,DL Vettori
info,player,New Zealand,SE Bond
info,player,New Zealand,KD Mills
info,player,New Zealand,JEC Franklin
info,registry,people,A Nel,2503e881
info,registry,people,AB de Villiers,c4487b84
info,registry,people,AG Prince,035cb925
info,registry,people,AJ Hall,6b0c3a20
info,registry,people,BB McCullum,b8a55852
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BG Jerling,26457e41
info,registry,people,CD McMillan,f5390243
info,registry,people,CK Langeveldt,d1c94b25
info,registry,people,DL Vettori,d7c6af50
info,registry,people,GC Smith,72861603
info,registry,people,HJH Marshall,70542bef
info,registry,people,JEC Franklin,cf73ad76
info,registry,people,JH Kallis,86dc8f2e
info,registry,people,JM Kemp,6581d753
info,registry,people,KD Mills,7fb32e5b
info,registry,people,KH Hurter,bda8cca8
info,registry,people,L Vincent,2764133a
info,registry,people,M Ntini,20a941bb
info,registry,people,MV Boucher,f3cb53a1
info,registry,people,NJ Astle,99639abf
info,registry,people,SA Bucknor,2ad22b51
info,registry,people,SB Styris,57efa3be
info,registry,people,SE Bond,4f629497
info,registry,people,SM Pollock,88fccd6c
info,registry,people,SP Fleming,eea6b7f1
ball,1,0.1,South Africa,AB de Villiers,GC Smith,KD Mills,0,0,,,,,,"",""
ball,1,0.2,South Africa,AB de Villiers,GC Smith,KD Mills,0,0,,,,,,"",""
ball,1,0.3,South Africa,AB de Villiers,GC Smith,KD Mills,1,0,,,,,,"",""
ball,1,0.4,South Africa,GC Smith,AB de Villiers,KD Mills,0,1,1,,,,,"",""
ball,1,0.5,South Africa,GC Smith,AB de Villiers,KD Mills,0,0,,,,,,"",""
ball,1,0.6,South Africa,GC Smith,AB de Villiers,KD Mills,0,0,,,,,,"",""
ball,1,0.7,South Africa,GC Smith,AB de Villiers,KD Mills,0,1,1,,,,,"",""
ball,1,0.8,South Africa,GC Smith,AB de Villiers,KD Mills,0,0,,,,,,"",""
ball,1,1.1,South Africa,AB de Villiers,GC Smith,SE Bond,0,0,,,,,,"",""
ball,1,1.2,South Africa,AB de Villiers,GC Smith,SE Bond,0,0,,,,,,"",""
ball,1,1.3,South Africa,AB de Villiers,GC Smith,SE Bond,0,0,,,,,,"",""
ball,1,1.4,South Africa,AB de Villiers,GC Smith,SE Bond,1,0,,,,,,"",""
ball,1,1.5,South Africa,GC Smith,AB de Villiers,SE Bond,0,0,,,,,,"",""
ball,1,1.6,South Africa,GC Smith,AB de Villiers,SE Bond,4,0,,,,,,"",""
ball,1,2.1,South Africa,AB de Villiers,GC Smith,KD Mills,0,0,,,,,,"",""
ball,1,2.2,South Africa,AB de Villiers,GC Smith,KD Mills,0,0,,,,,,"",""
ball,1,2.3,South Africa,AB de Villiers,GC Smith,KD Mills,4,0,,,,,,"",""
ball,1,2.4,South Africa,AB de Villiers,GC Smith,KD Mills,0,0,,,,,,"",""
ball,1,2.5,South Africa,AB de Villiers,GC Smith,KD Mills,0,0,,,,,,"",""
ball,1,2.6,South Africa,AB de Villiers,GC Smith,KD Mills,0,0,,,,,,"",""
ball,1,3.1,South Africa,GC Smith,AB de Villiers,SE Bond,0,0,,,,,,"",""
ball,1,3.2,South Africa,GC Smith,AB de Villiers,SE Bond,1,1,,1,,,,"",""
ball,1,3.3,South Africa,AB de Villiers,GC Smith,SE Bond,0,0,,,,,,"",""
