version,1.6.0
info,balls_per_over,6
info,team,India
info,team,Zimbabwe
info,gender,male
info,season,2005
info,date,2005/08/29
info,event,Videocon Triangular Series
info,match_number,3
info,venue,Harare Sports Club
info,city,
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,IK Pathan
info,umpire,IL Howell
info,umpire,KC Barbour
info,tv_umpire,RB Tiffin
info,match_referee,RS Mahanama
info,winner,India
info,winner_runs,161
info,player,India,SC Ganguly
info,player,India,Y Venugopal Rao
info,player,India,M Kaif
info,player,India,R Dravid
info,player,India,Yuvraj Singh
info,player,India,MS Dhoni
info,player,India,AB Agarkar
info,player,India,Jai Prakash Yadav
info,player,India,IK Pathan
info,player,India,Harbhajan Singh
info,player,India,A Nehra
info,player,Zimbabwe,BRM Taylor
info,player,Zimbabwe,SV Carlisle
info,player,Zimbabwe,V Sibanda
info,player,Zimbabwe,H Masakadza
info,player,Zimbabwe,T Taibu
info,player,Zimbabwe,HH Streak
info,player,Zimbabwe,CK Coventry
info,player,Zimbabwe,AM Blignaut
info,player,Zimbabwe,GM Ewing
info,player,Zimbabwe,NB Mahwire
info,player,Zimbabwe,P Utseya
info,player,Zimbabwe,AJ Ireland
info,registry,people,A Nehra,96fd40ae
info,registry,people,AB Agarkar,fa463154
info,registry,people,AJ Ireland,a7c7802a
info,registry,people,AM Blignaut,80ec5dfd
info,registry,people,BRM Taylor,53597be1
info,registry,people,CK Coventry,a21ea40c
info,registry,people,GM Ewing,36fc8d18
info,registry,people,H Masakadza,31fbf891
info,registry,people,HH Streak,37f501d7
info,registry,people,Harbhajan Singh,8b5b6769
info,registry,people,IK Pathan,5fa06777
info,registry,people,IL Howell,c1cd91c3
info,registry,people,Jai Prakash Yadav,7ba54dc9
info,registry,people,KC Barbour,4359f89a
info,registry,people,M Kaif,d84378a4
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,NB Mahwire,0cc343b0
info,registry,people,P Utseya,9de271ef
info,registry,people,R Dravid,0184dc35
info,registry,people,RB Tiffin,89087a0d
info,registry,people,RS Mahanama,57910393
info,registry,people,SC Ganguly,725529bc
info,registry,people,SV Carlisle,17f552bf
info,registry,people,T Taibu,75de770f
info,registry,people,V Sibanda,0fdabe05
info,registry,people,Y Venugopal Rao,fe763256
info,registry,people,Yuvraj Singh,1c914163
ball,1,0.1,India,SC Ganguly,Y Venugopal Rao,HH Streak,0,1,1,,,,,"",""
ball,1,0.2,India,SC Ganguly,Y Venugopal Rao,HH Streak,0,0,,,,,,"",""
ball,1,0.3,India,SC Ganguly,Y Venugopal Rao,HH Streak,0,1,,,,1,,"",""
ball,1,0.4,India,Y Venugopal Rao,SC Ganguly,HH Streak,0,0,,,,,,"",""
ball,1,0.5,India,Y Venugopal Rao,SC Ganguly,HH Streak,0,1,1,,,,,"",""
ball,1,0.6,India,Y Venugopal Rao,SC Ganguly,HH Streak,0,0,,,,,,"",""
ball,1,0.7,India,Y Venugopal Rao,SC Ganguly,HH Streak,0,0,,,,,,caught,Y Venugopal Rao
ball,1,0.8,India,M Kaif,SC Ganguly,HH Streak,0,1,1,,,,,"",""
ball,1,0.9,India,M Kaif,SC Ganguly,HH Streak,0,0,,,,,,"",""
ball,1,1.1,India,SC Ganguly,M Kaif,NB Mahwire,1,0,,,,,,"",""
ball,1,1.2,India,M Kaif,SC Ganguly,NB Mahwire,0,0,,,,,,"",""
ball,1,1.3,India,M Kaif,SC Ganguly,NB Mahwire,0,0,,,,,,"",""
ball,1,1.4,India,M Kaif,SC Ganguly,NB Mahwire,0,0,,,,,,"",""
ball,1,1.5,India,M Kaif,SC Ganguly,NB Mahwire,1,0,,,,,,"",""
ball,1,1.6,India,SC Ganguly,M Kaif,NB Mahwire,0,0,,,,,,"",""
ball,1,2.1,India,M Kaif,SC Ganguly,HH Streak,0,0,,,,,,"",""
ball,1,2.2,India,M Kaif,SC Ganguly,HH Streak,0,0,,,,,,"",""
ball,1,2.3,India,M Kaif,SC Ganguly,HH Streak,0,0,,,,,,"",""
ball,1,2.4,India,M Kaif,SC Ganguly,HH Streak,0,0,,,,,,"",""
ball,1,2.5,India,M Kaif,SC Ganguly,HH Streak,0,0,,,,,,"",""
ball,1,2.6,India,M Kaif,SC Ganguly,HH Streak,0,0,,,,,,"",""
ball,1,3.1,India,SC Ganguly,M Kaif,NB Mahwire,0,0,,,,,,"",""
ball,1,3.2,India,SC Ganguly,M Kaif,NB Mahwire,0,0,,,,,,"",""
ball,1,3.3,India,SC Ganguly,M Kaif,NB Mahwire,0,0,,,,,,"",""
ball,1,3.4,India,SC Ganguly,M Kaif,NB Mahwire,0,0,,,,,,"",""
